"subject","item","region","measure","condition","rawdata","group_G","region_G","trial","sort","skips","reading_time","ambiguity_G","continuation_G","ambiguity_continuation_G","ambiguity","continuation","group"
"Native 3",20,-0.5,"fp",2,290,"Native","disambiguation","Native 3 20","disambiguation/fp",0,290,"Unambiguous","Consistent","Unambiguous/Consistent",-0.5,-0.5,-0.5
"Native 3",8,-0.5,"fp",2,269,"Native","disambiguation","Native 3 8","disambiguation/fp",0,269,"Unambiguous","Consistent","Unambiguous/Consistent",-0.5,-0.5,-0.5
"Native 3",2,-0.5,"fp",4,327,"Native","disambiguation","Native 3 2","disambiguation/fp",0,327,"Unambiguous","Inconsistent","Unambiguous/Inconsistent",-0.5,0.5,-0.5
"Native 3",24,-0.5,"fp",2,273,"Native","disambiguation","Native 3 24","disambiguation/fp",0,273,"Unambiguous","Consistent","Unambiguous/Consistent",-0.5,-0.5,-0.5
"Native 3",12,-0.5,"fp",2,143,"Native","disambiguation","Native 3 12","disambiguation/fp",0,143,"Unambiguous","Consistent","Unambiguous/Consistent",-0.5,-0.5,-0.5
"Native 4",5,-0.5,"fp",4,362,"Native","disambiguation","Native 4 5","disambiguation/fp",0,362,"Unambiguous","Inconsistent","Unambiguous/Inconsistent",-0.5,0.5,-0.5
"Native 4",10,-0.5,"fp",1,234,"Native","disambiguation","Native 4 10","disambiguation/fp",0,234,"Ambiguous","Consistent","Ambiguous/Consistent",0.5,-0.5,-0.5
"Native 4",12,-0.5,"fp",3,238,"Native","disambiguation","Native 4 12","disambiguation/fp",0,238,"Ambiguous","Inconsistent","Ambiguous/Inconsistent",0.5,0.5,-0.5
"Native 4",14,-0.5,"fp",1,583,"Native","disambiguation","Native 4 14","disambiguation/fp",0,583,"Ambiguous","Consistent","Ambiguous/Consistent",0.5,-0.5,-0.5
"Native 4",11,-0.5,"fp",2,297,"Native","disambiguation","Native 4 11","disambiguation/fp",0,297,"Unambiguous","Consistent","Unambiguous/Consistent",-0.5,-0.5,-0.5
"Native 4",18,-0.5,"fp",1,749,"Native","disambiguation","Native 4 18","disambiguation/fp",0,749,"Ambiguous","Consistent","Ambiguous/Consistent",0.5,-0.5,-0.5
"Native 4",7,-0.5,"fp",2,233,"Native","disambiguation","Native 4 7","disambiguation/fp",0,233,"Unambiguous","Consistent","Unambiguous/Consistent",-0.5,-0.5,-0.5
"Native 4",20,-0.5,"fp",3,405,"Native","disambiguation","Native 4 20","disambiguation/fp",0,405,"Ambiguous","Inconsistent","Ambiguous/Inconsistent",0.5,0.5,-0.5
"Native 4",22,-0.5,"fp",1,708,"Native","disambiguation","Native 4 22","disambiguation/fp",0,708,"Ambiguous","Consistent","Ambiguous/Consistent",0.5,-0.5,-0.5
"Native 4",16,-0.5,"fp",3,257,"Native","disambiguation","Native 4 16","disambiguation/fp",0,257,"Ambiguous","Inconsistent","Ambiguous/Inconsistent",0.5,0.5,-0.5
"Native 4",17,-0.5,"fp",4,238,"Native","disambiguation","Native 4 17","disambiguation/fp",0,238,"Unambiguous","Inconsistent","Unambiguous/Inconsistent",-0.5,0.5,-0.5
"Native 4",2,-0.5,"fp",1,271,"Native","disambiguation","Native 4 2","disambiguation/fp",0,271,"Ambiguous","Consistent","Ambiguous/Consistent",0.5,-0.5,-0.5
"Native 4",8,-0.5,"fp",3,551,"Native","disambiguation","Native 4 8","disambiguation/fp",0,551,"Ambiguous","Inconsistent","Ambiguous/Inconsistent",0.5,0.5,-0.5
"Native 4",23,-0.5,"fp",2,414,"Native","disambiguation","Native 4 23","disambiguation/fp",0,414,"Unambiguous","Consistent","Unambiguous/Consistent",-0.5,-0.5,-0.5
"Native 4",4,-0.5,"fp",3,198,"Native","disambiguation","Native 4 4","disambiguation/fp",0,198,"Ambiguous","Inconsistent","Ambiguous/Inconsistent",0.5,0.5,-0.5
"Native 4",21,-0.5,"fp",4,318,"Native","disambiguation","Native 4 21","disambiguation/fp",0,318,"Unambiguous","Inconsistent","Unambiguous/Inconsistent",-0.5,0.5,-0.5
"Native 4",9,-0.5,"fp",4,502,"Native","disambiguation","Native 4 9","disambiguation/fp",0,502,"Unambiguous","Inconsistent","Unambiguous/Inconsistent",-0.5,0.5,-0.5
"Native 4",3,-0.5,"fp",2,0,"Native","disambiguation","Native 4 3","disambiguation/fp",1,NA,"Unambiguous","Consistent","Unambiguous/Consistent",-0.5,-0.5,-0.5
"Native 4",1,-0.5,"fp",4,605,"Native","disambiguation","Native 4 1","disambiguation/fp",0,605,"Unambiguous","Inconsistent","Unambiguous/Inconsistent",-0.5,0.5,-0.5
"Native 4",19,-0.5,"fp",2,307,"Native","disambiguation","Native 4 19","disambiguation/fp",0,307,"Unambiguous","Consistent","Unambiguous/Consistent",-0.5,-0.5,-0.5
"Native 4",13,-0.5,"fp",4,625,"Native","disambiguation","Native 4 13","disambiguation/fp",0,625,"Unambiguous","Inconsistent","Unambiguous/Inconsistent",-0.5,0.5,-0.5
"Native 4",6,-0.5,"fp",1,413,"Native","disambiguation","Native 4 6","disambiguation/fp",0,413,"Ambiguous","Consistent","Ambiguous/Consistent",0.5,-0.5,-0.5
"Native 4",24,-0.5,"fp",3,399,"Native","disambiguation","Native 4 24","disambiguation/fp",0,399,"Ambiguous","Inconsistent","Ambiguous/Inconsistent",0.5,0.5,-0.5
"Native 4",15,-0.5,"fp",2,503,"Native","disambiguation","Native 4 15","disambiguation/fp",0,503,"Unambiguous","Consistent","Unambiguous/Consistent",-0.5,-0.5,-0.5
"Native 5",13,-0.5,"fp",1,135,"Native","disambiguation","Native 5 13","disambiguation/fp",0,135,"Ambiguous","Consistent","Ambiguous/Consistent",0.5,-0.5,-0.5
"Native 5",6,-0.5,"fp",2,279,"Native","disambiguation","Native 5 6","disambiguation/fp",0,279,"Unambiguous","Consistent","Unambiguous/Consistent",-0.5,-0.5,-0.5
"Native 5",21,-0.5,"fp",1,177,"Native","disambiguation","Native 5 21","disambiguation/fp",0,177,"Ambiguous","Consistent","Ambiguous/Consistent",0.5,-0.5,-0.5
"Native 5",24,-0.5,"fp",4,203,"Native","disambiguation","Native 5 24","disambiguation/fp",0,203,"Unambiguous","Inconsistent","Unambiguous/Inconsistent",-0.5,0.5,-0.5
"Native 5",11,-0.5,"fp",3,235,"Native","disambiguation","Native 5 11","disambiguation/fp",0,235,"Ambiguous","Inconsistent","Ambiguous/Inconsistent",0.5,0.5,-0.5
"Native 5",18,-0.5,"fp",2,209,"Native","disambiguation","Native 5 18","disambiguation/fp",0,209,"Unambiguous","Consistent","Unambiguous/Consistent",-0.5,-0.5,-0.5
"Native 5",16,-0.5,"fp",4,218,"Native","disambiguation","Native 5 16","disambiguation/fp",0,218,"Unambiguous","Inconsistent","Unambiguous/Inconsistent",-0.5,0.5,-0.5
"Native 5",7,-0.5,"fp",3,208,"Native","disambiguation","Native 5 7","disambiguation/fp",0,208,"Ambiguous","Inconsistent","Ambiguous/Inconsistent",0.5,0.5,-0.5
"Native 5",3,-0.5,"fp",3,0,"Native","disambiguation","Native 5 3","disambiguation/fp",1,NA,"Ambiguous","Inconsistent","Ambiguous/Inconsistent",0.5,0.5,-0.5
"Native 5",14,-0.5,"fp",2,206,"Native","disambiguation","Native 5 14","disambiguation/fp",0,206,"Unambiguous","Consistent","Unambiguous/Consistent",-0.5,-0.5,-0.5
"Native 5",20,-0.5,"fp",4,157,"Native","disambiguation","Native 5 20","disambiguation/fp",0,157,"Unambiguous","Inconsistent","Unambiguous/Inconsistent",-0.5,0.5,-0.5
"Native 5",2,-0.5,"fp",2,295,"Native","disambiguation","Native 5 2","disambiguation/fp",0,295,"Unambiguous","Consistent","Unambiguous/Consistent",-0.5,-0.5,-0.5
"Native 5",8,-0.5,"fp",4,173,"Native","disambiguation","Native 5 8","disambiguation/fp",0,173,"Unambiguous","Inconsistent","Unambiguous/Inconsistent",-0.5,0.5,-0.5
"Native 5",15,-0.5,"fp",3,0,"Native","disambiguation","Native 5 15","disambiguation/fp",1,NA,"Ambiguous","Inconsistent","Ambiguous/Inconsistent",0.5,0.5,-0.5
"Native 5",10,-0.5,"fp",2,216,"Native","disambiguation","Native 5 10","disambiguation/fp",0,216,"Unambiguous","Consistent","Unambiguous/Consistent",-0.5,-0.5,-0.5
"Native 5",23,-0.5,"fp",3,208,"Native","disambiguation","Native 5 23","disambiguation/fp",0,208,"Ambiguous","Inconsistent","Ambiguous/Inconsistent",0.5,0.5,-0.5
"Native 5",4,-0.5,"fp",4,456,"Native","disambiguation","Native 5 4","disambiguation/fp",0,456,"Unambiguous","Inconsistent","Unambiguous/Inconsistent",-0.5,0.5,-0.5
"Native 5",9,-0.5,"fp",1,255,"Native","disambiguation","Native 5 9","disambiguation/fp",0,255,"Ambiguous","Consistent","Ambiguous/Consistent",0.5,-0.5,-0.5
"Native 5",17,-0.5,"fp",1,0,"Native","disambiguation","Native 5 17","disambiguation/fp",1,NA,"Ambiguous","Consistent","Ambiguous/Consistent",0.5,-0.5,-0.5
"Native 5",12,-0.5,"fp",4,164,"Native","disambiguation","Native 5 12","disambiguation/fp",0,164,"Unambiguous","Inconsistent","Unambiguous/Inconsistent",-0.5,0.5,-0.5
"Native 5",22,-0.5,"fp",2,264,"Native","disambiguation","Native 5 22","disambiguation/fp",0,264,"Unambiguous","Consistent","Unambiguous/Consistent",-0.5,-0.5,-0.5
"Native 5",5,-0.5,"fp",1,378,"Native","disambiguation","Native 5 5","disambiguation/fp",0,378,"Ambiguous","Consistent","Ambiguous/Consistent",0.5,-0.5,-0.5
"Native 5",19,-0.5,"fp",3,285,"Native","disambiguation","Native 5 19","disambiguation/fp",0,285,"Ambiguous","Inconsistent","Ambiguous/Inconsistent",0.5,0.5,-0.5
"Native 5",1,-0.5,"fp",1,0,"Native","disambiguation","Native 5 1","disambiguation/fp",1,NA,"Ambiguous","Consistent","Ambiguous/Consistent",0.5,-0.5,-0.5
"Native 6",21,-0.5,"fp",2,284,"Native","disambiguation","Native 6 21","disambiguation/fp",0,284,"Unambiguous","Consistent","Unambiguous/Consistent",-0.5,-0.5,-0.5
"Native 6",15,-0.5,"fp",4,163,"Native","disambiguation","Native 6 15","disambiguation/fp",0,163,"Unambiguous","Inconsistent","Unambiguous/Inconsistent",-0.5,0.5,-0.5
"Native 6",6,-0.5,"fp",3,574,"Native","disambiguation","Native 6 6","disambiguation/fp",0,574,"Ambiguous","Inconsistent","Ambiguous/Inconsistent",0.5,0.5,-0.5
"Native 6",19,-0.5,"fp",4,560,"Native","disambiguation","Native 6 19","disambiguation/fp",0,560,"Unambiguous","Inconsistent","Unambiguous/Inconsistent",-0.5,0.5,-0.5
"Native 6",10,-0.5,"fp",3,131,"Native","disambiguation","Native 6 10","disambiguation/fp",0,131,"Ambiguous","Inconsistent","Ambiguous/Inconsistent",0.5,0.5,-0.5
"Native 6",24,-0.5,"fp",1,294,"Native","disambiguation","Native 6 24","disambiguation/fp",0,294,"Ambiguous","Consistent","Ambiguous/Consistent",0.5,-0.5,-0.5
"Native 6",5,-0.5,"fp",2,601,"Native","disambiguation","Native 6 5","disambiguation/fp",0,601,"Unambiguous","Consistent","Unambiguous/Consistent",-0.5,-0.5,-0.5
"Native 6",2,-0.5,"fp",3,485,"Native","disambiguation","Native 6 2","disambiguation/fp",0,485,"Ambiguous","Inconsistent","Ambiguous/Inconsistent",0.5,0.5,-0.5
"Native 6",14,-0.5,"fp",3,158,"Native","disambiguation","Native 6 14","disambiguation/fp",0,158,"Ambiguous","Inconsistent","Ambiguous/Inconsistent",0.5,0.5,-0.5
"Native 6",18,-0.5,"fp",3,199,"Native","disambiguation","Native 6 18","disambiguation/fp",0,199,"Ambiguous","Inconsistent","Ambiguous/Inconsistent",0.5,0.5,-0.5
"Native 6",7,-0.5,"fp",4,175,"Native","disambiguation","Native 6 7","disambiguation/fp",0,175,"Unambiguous","Inconsistent","Unambiguous/Inconsistent",-0.5,0.5,-0.5
"Native 6",17,-0.5,"fp",2,289,"Native","disambiguation","Native 6 17","disambiguation/fp",0,289,"Unambiguous","Consistent","Unambiguous/Consistent",-0.5,-0.5,-0.5
"Native 6",23,-0.5,"fp",4,167,"Native","disambiguation","Native 6 23","disambiguation/fp",0,167,"Unambiguous","Inconsistent","Unambiguous/Inconsistent",-0.5,0.5,-0.5
"Native 6",8,-0.5,"fp",1,197,"Native","disambiguation","Native 6 8","disambiguation/fp",0,197,"Ambiguous","Consistent","Ambiguous/Consistent",0.5,-0.5,-0.5
"Native 6",3,-0.5,"fp",4,218,"Native","disambiguation","Native 6 3","disambiguation/fp",0,218,"Unambiguous","Inconsistent","Unambiguous/Inconsistent",-0.5,0.5,-0.5
"Native 6",20,-0.5,"fp",1,404,"Native","disambiguation","Native 6 20","disambiguation/fp",0,404,"Ambiguous","Consistent","Ambiguous/Consistent",0.5,-0.5,-0.5
"Native 6",16,-0.5,"fp",1,173,"Native","disambiguation","Native 6 16","disambiguation/fp",0,173,"Ambiguous","Consistent","Ambiguous/Consistent",0.5,-0.5,-0.5
"Native 6",4,-0.5,"fp",1,187,"Native","disambiguation","Native 6 4","disambiguation/fp",0,187,"Ambiguous","Consistent","Ambiguous/Consistent",0.5,-0.5,-0.5
"Native 6",13,-0.5,"fp",2,231,"Native","disambiguation","Native 6 13","disambiguation/fp",0,231,"Unambiguous","Consistent","Unambiguous/Consistent",-0.5,-0.5,-0.5
"Native 6",9,-0.5,"fp",2,181,"Native","disambiguation","Native 6 9","disambiguation/fp",0,181,"Unambiguous","Consistent","Unambiguous/Consistent",-0.5,-0.5,-0.5
