"controller","condition","item","reading_time","NA","subject","group_G","ambiguity_G","ambiguity","group"
"DashedSentence","exp1-2","14",4302,"False","Native 5","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-3","15",4716,"False","Native 5","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-3","23",3709,"False","Native 5","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-2","22",2819,"False","Native 5","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-4","24",3768,"False","Native 5","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-3","19",3243,"False","Native 5","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-3","3",4582,"False","Native 5","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-4","12",3674,"False","Native 5","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-1","13",6551,"False","Native 5","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-1","9",3446,"False","Native 5","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-2","2",3111,"False","Native 5","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-4","8",4134,"False","Native 5","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-1","5",2344,"False","Native 5","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-3","11",4889,"False","Native 5","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-1","1",2767,"False","Native 5","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-2","6",2879,"False","Native 5","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-2","18",2660,"False","Native 5","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-1","17",6413,"False","Native 5","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-4","20",3292,"False","Native 5","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-4","4",2098,"False","Native 5","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-2","10",3044,"False","Native 5","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-3","7",7072,"False","Native 5","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-4","16",2075,"False","Native 5","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-1","21",5357,"False","Native 5","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-3","10",1960,"False","Native 6","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-3","22",1830,"False","Native 6","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-2","5",1751,"False","Native 6","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-1","16",1956,"False","Native 6","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-4","7",1141,"False","Native 6","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-4","3",1667,"False","Native 6","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-1","24",1310,"False","Native 6","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-4","15",1909,"False","Native 6","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-3","18",1425,"False","Native 6","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-4","23",1568,"False","Native 6","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-3","2",1387,"False","Native 6","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-2","13",1808,"False","Native 6","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-3","14",1740,"False","Native 6","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-1","4",1589,"False","Native 6","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-4","11",2461,"False","Native 6","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-4","19",954,"False","Native 6","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-2","1",1983,"False","Native 6","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-3","6",2334,"False","Native 6","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-2","9",2178,"False","Native 6","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-1","20",1857,"False","Native 6","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-1","8",1357,"False","Native 6","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-2","21",2211,"False","Native 6","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-1","12",1746,"False","Native 6","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-2","17",1389,"False","Native 6","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-1","3",2906,"False","Native 7","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-1","23",3124,"False","Native 7","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-3","21",2703,"False","Native 7","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-1","7",4971,"False","Native 7","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-2","8",4083,"False","Native 7","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-2","20",2125,"False","Native 7","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-4","6",1480,"False","Native 7","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-3","17",3697,"False","Native 7","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-2","4",1779,"False","Native 7","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-3","5",3551,"False","Native 7","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-1","19",4195,"False","Native 7","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-3","1",2525,"False","Native 7","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-2","12",2845,"False","Native 7","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-3","13",4867,"False","Native 7","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-4","14",1988,"False","Native 7","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-3","9",4688,"False","Native 7","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-4","22",2087,"False","Native 7","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-1","11",3330,"False","Native 7","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-2","24",2253,"False","Native 7","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-1","15",2455,"False","Native 7","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-4","2",1653,"False","Native 7","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-4","10",1569,"False","Native 7","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-2","16",2332,"False","Native 7","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-4","18",5065,"False","Native 7","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-4","9",6168,"False","Native 8","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-1","18",8228,"False","Native 8","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-3","16",5439,"False","Native 8","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-3","24",7220,"False","Native 8","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-3","12",6143,"False","Native 8","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-2","19",4851,"False","Native 8","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-3","4",3792,"False","Native 8","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-1","14",9080,"False","Native 8","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-1","10",4211,"False","Native 8","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-1","2",2586,"False","Native 8","Native","Ambiguous",0.5,-0.5
"DashedSentence","exp1-2","7",3007,"False","Native 8","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-4","21",2842,"False","Native 8","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-4","5",3223,"False","Native 8","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-4","17",2849,"False","Native 8","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-2","11",3533,"False","Native 8","Native","Unambiguous",-0.5,-0.5
"DashedSentence","exp1-1","22",5132,"False","Native 8","Native","Ambiguous",0.5,-0.5
